10,10,10,10,10,10,10,10,10,10
50,50,50,50,50,50,50,50,50,50
100,100,100,100,100,100,100,100,100,100
150,150,150,150,150,150,150,150,150,150

20,20,20,20,20,20,20,20,20,20
50,50,50,50,50,50,50,50,50,50
90,90,90,90,90,90,90,90,90,90
140,140,140,140,140,140,140,140,140,140

40,40,40,40,40,40,40,40,40,40
80,80,80,80,80,80,80,80,80,80
120,120,120,120,120,120,120,120,120,120
150,150,150,150,150,150,150,150,150,150

1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5i,0.5i,0.5i,0.5i,0.5i,0.5i,0.5i,0.5i,0.5i,0.5i
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.3i,0.3i,0.3i,0.3i,0.3i,0.3i,0.3i,0.3i,0.3i,0.3i
